Action,FirstSelectBy,FirstValue,SecondSelectBy,SecondValue,Validation
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[2]/div[3]/form/table/tbody/tr[1]/td/table[2]/tbody/tr[25]/td[2]/input,,,false
WriteTo,xpath,/html/body/div[2]/div[3]/div[2]/div[2]/div[3]/form/table/tbody/tr[1]/td/table[2]/tbody/tr[25]/td[3]/input[2],,Tiempo,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[2]/div[3]/form/table/tbody/tr[1]/td/table[2]/tbody/tr[25]/td[5]/input,,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[2]/div[3]/form/table/tbody/tr[1]/td/table[2]/tbody/tr[26]/td[2]/input,,,false
WriteTo,xpath,/html/body/div[2]/div[3]/div[2]/div[2]/div[3]/form/table/tbody/tr[1]/td/table[2]/tbody/tr[26]/td[3]/input[2],,Notas,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[2]/div[3]/form/table/tbody/tr[1]/td/table[2]/tbody/tr[26]/td[4]/select/option[2],,,false
Click,id,submit-btn,,,false
Waiting For,xpath,//*[@id="submit"],,2,false
Click,xpath,//*[@id="submit"],,,false
Waiting For,xpath,/html/body/div[2]/div[3]/div[2]/div[2]/div[3]/form/p/input[1],,2,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[2]/div[3]/form/p/input[1],,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[2]/div[3]/div/div/table/tbody/tr/td[3]/a/img,,,false
WriteTo,id,fileUpload,,path del archivo de la lista robinson,false
Click,xpath,//*[@id="submit"],,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[2]/div[1]/ul/li[8]/a,,,false
WriteTo,xpath,/html/body/div[2]/div[3]/div[2]/div[5]/form[1]/table/tbody/tr/td[2]/input[4],,BBDD1,false
Click,id,f_trigger_start,,,false
Click,xpath,/html/body/div[7]/table/tbody/tr[4]/td[1],,,false
Click,id,f_trigger_end,,,false
Click,xpath,/html/body/div[7]/table/thead/tr[2]/td[4],,,false
Click,xpath,/html/body/div[7]/table/thead/tr[2]/td[4],,,false
Click,xpath,/html/body/div[7]/table/tbody/tr[5]/td[3],,,false
Click,id,newBDGroup,,,false
Click,id,enableCampaign,,,false
Click,xpath,/html/body/div[2]/div[3]/div[2]/div[5]/form[1]/table/tbody/tr[1]/td[10]/a[1]/img,,,false
WaitTime,,2,,,false
Click,xpath,/html/body/div[8]/div[7]/div/button,,,false
